SUBJECT(1:35); TRIAL(1:89); SETSIZE(0:1000); SERPOS(0:1000); TRTYPE(0:1000); REP(0:1000); ANSAC(0:2); ANSSE(0:1000); ANSRT(0:32767); RECALLAC(0:2); RECALLRT(0:32767); HAND(0:1000)
5 1 3 2 1 2 1 1 1484 1 5843 1
5 2 1 1 2 1 1 2 1695 0 5307 1
5 3 5 4 1 2 0 2 1641 1 6528 1
5 4 4 3 2 1 1 2 1614 1 3353 1
5 5 6 2 1 2 1 1 2898 0 4264 1
5 6 5 5 1 1 1 1 1727 0 4670 1
5 7 4 4 1 1 1 1 1517 1 3085 1
5 8 5 3 2 1 1 2 1728 1 2766 1
5 9 5 2 2 2 1 2 1872 1 3961 1
5 10 2 2 2 1 1 2 1178 1 1770 1
5 11 6 2 1 1 1 1 2531 0 4359 1
5 12 3 3 1 2 1 1 1531 1 1634 1
5 13 5 4 2 1 1 2 1554 1 2751 1
5 14 3 1 2 2 1 2 1575 1 1636 1
5 15 3 3 2 1 1 2 1071 1 2502 1
5 16 4 4 2 2 1 2 1068 1 2599 1
5 17 4 2 1 2 1 1 1561 1 2587 1
5 18 3 2 1 1 1 1 1666 1 2590 1
5 19 5 5 2 1 1 2 1462 1 2750 1
5 20 6 6 2 2 1 2 2075 1 8867 1
5 21 6 5 1 1 0 2 1399 1 7532 1
5 22 6 4 2 1 1 2 2579 0 3463 1
5 23 4 3 1 1 1 1 1840 1 1723 1
5 24 1 1 2 2 1 2 1512 1 669 1
5 25 3 2 2 1 1 2 1034 1 1815 1
5 26 5 3 1 2 0 2 1588 0 2044 1
5 27 4 3 1 2 1 1 1252 1 2320 1
5 28 4 2 2 1 1 2 1068 1 2923 1
5 29 3 2 1 2 1 1 1849 1 2093 1
5 30 2 2 2 2 1 2 1453 1 1274 1
5 31 4 2 2 2 1 2 1201 1 3052 1
5 32 3 1 1 1 1 1 1307 1 1755 1
5 33 4 1 1 1 1 1 1660 1 2588 1
5 34 4 2 1 1 1 1 1466 1 4685 1
5 35 3 3 1 1 1 1 1736 1 1553 1
5 36 5 4 1 2 1 1 2184 1 4017 1
5 37 5 2 1 1 1 1 4407 0 6214 1
5 38 4 3 2 2 1 2 2012 1 4349 1
5 39 4 1 1 2 1 1 1113 1 2235 1
5 40 3 3 2 2 1 2 1029 1 1228 1
5 41 6 5 1 2 0 2 2755 0 3627 1
5 42 5 2 1 2 1 1 1455 1 2494 1
5 43 5 4 2 2 1 2 1238 1 2595 1
5 44 6 2 2 2 1 2 2389 0 3680 1
5 45 1 1 1 1 1 1 2008 1 1063 1
5 46 2 1 2 2 1 2 1321 1 1451 1
5 47 6 2 2 1 1 2 1352 0 4409 1
5 48 6 1 2 2 1 2 1446 0 5837 1
5 49 6 4 1 2 1 1 1311 0 6171 1
5 50 6 3 2 1 1 2 2896 0 6537 1
5 51 5 1 1 1 1 1 2097 1 2403 1
5 52 6 4 1 1 1 1 1166 0 12234 1
5 53 4 4 2 1 1 2 1595 1 3815 1
5 54 5 2 2 1 1 2 1141 0 5049 1
5 55 5 1 2 2 1 2 2005 0 6998 1
5 56 6 6 1 2 1 1 1446 0 4859 1
5 57 5 1 1 2 1 1 2001 1 2822 1
5 58 6 3 1 2 1 1 1174 1 3767 1
5 59 6 5 2 1 1 2 1082 0 3505 1
5 60 1 1 1 2 1 1 922 1 996 1
5 61 3 1 1 2 1 1 1943 1 1448 1
5 62 6 3 2 2 1 2 1715 0 2051 1
5 63 6 5 2 2 1 2 1495 0 7144 1
5 64 6 6 1 1 0 2 1081 0 5460 1
5 65 2 2 1 2 1 1 1411 1 1412 1
5 66 6 1 1 2 1 1 1216 1 4541 1
5 67 5 3 1 1 1 1 2054 1 3219 1
5 68 6 3 1 1 1 1 1334 0 4510 1
5 69 5 1 2 1 1 2 1362 0 4495 1
5 70 5 4 1 1 1 1 967 1 3587 1
5 71 2 1 1 2 1 1 1281 1 1138 1
5 72 2 2 1 1 1 1 828 1 1537 1
5 73 5 5 2 2 1 2 1189 1 3540 1
5 74 5 3 2 2 1 2 1502 1 3462 1
5 75 2 1 1 1 1 1 1506 1 2042 1
5 76 4 3 2 1 1 2 1208 1 2784 1
5 77 6 6 2 1 1 2 2310 0 3306 1
5 78 6 1 2 1 1 2 902 0 2452 1
5 79 4 4 1 2 1 1 1335 1 1892 1
5 80 4 1 2 2 1 2 1013 1 2052 1
5 81 3 1 2 1 1 2 1078 1 2089 1
5 82 1 1 2 1 1 2 975 1 630 1
5 83 6 1 1 1 1 1 1677 0 5224 1
5 84 4 1 2 1 1 2 2832 0 6091 1
5 85 2 1 2 1 1 2 1051 1 1233 1
5 86 6 4 2 2 1 2 905 0 3060 1
5 87 3 2 2 2 1 2 1306 1 2768 1
5 88 5 5 1 2 1 1 1323 0 3247 1
20 1 3 2 1 2 1 1 1258 1 1724 1
20 2 1 1 2 1 1 2 976 1 770 1
20 3 5 4 1 2 1 1 1416 1 3856 1
20 4 4 3 2 1 1 2 975 1 2678 1
20 5 4 4 2 2 1 2 888 1 2222 1
20 6 5 4 1 2 1 1 1238 1 2923 1
20 7 3 3 1 2 1 1 1355 1 2872 1
20 8 6 1 1 2 1 1 1214 1 3360 1
20 9 5 1 2 1 1 2 1684 1 4398 1
20 10 5 4 2 1 1 2 954 0 5269 1
20 11 4 3 2 2 1 2 1116 1 1967 1
20 12 4 3 2 1 1 2 1062 0 2498 1
20 13 2 1 1 1 1 1 1147 1 861 1
20 14 3 2 2 1 1 2 2481 1 1917 1
20 15 3 1 2 1 1 2 1074 1 2274 1
20 16 4 3 1 1 1 1 1025 1 2186 1
20 17 6 2 1 2 0 2 1306 0 4539 1
20 18 6 4 1 1 1 1 1813 0 4779 1
20 19 6 5 1 1 1 1 1494 0 7002 1
20 20 4 2 2 2 1 2 881 1 1803 1
20 21 4 1 1 1 1 1 973 1 1458 1
20 22 5 5 1 2 1 1 1416 1 3132 1
20 23 5 3 2 1 1 2 1639 1 3016 1
20 24 2 2 1 1 1 1 1007 1 954 1
20 25 6 3 1 2 1 1 1899 1 4720 1
20 26 3 3 2 2 1 2 2028 0 4169 1
20 27 3 2 2 2 1 2 1171 1 1182 1
20 28 6 1 2 2 1 2 1169 0 3403 1
20 29 1 1 1 2 1 1 1341 1 989 1
20 30 3 1 1 2 1 1 905 1 1911 1
20 31 2 2 2 1 1 2 1184 1 1489 1
20 32 2 1 2 2 1 2 1407 1 1544 1
20 33 6 6 2 1 1 2 1130 1 3719 1
20 34 2 1 2 1 1 2 1164 1 1090 1
20 35 3 3 1 1 1 1 947 1 2022 1
20 36 6 6 1 2 0 2 1808 0 3502 1
20 37 6 2 2 1 0 1 1585 0 5500 1
20 38 6 3 1 1 1 1 852 0 4093 1
20 39 5 2 2 2 1 2 1053 1 3799 1
20 40 4 2 1 1 1 1 1208 0 2319 1
20 41 4 4 1 2 1 1 1199 1 1704 1
20 42 6 4 2 2 1 2 996 0 4371 1
20 43 6 1 2 1 1 2 1846 0 5844 1
